order_id,order_date,status,item_id,sku,qty_ordered,price,value,discount_amount,total,category,payment_method,bi_st,cust_id,year,month,Name Prefix,Gender,age,Customer Since,County,City,State,Zip,Region,Discount_Percent
100506541,01/05/2021,canceled,815303,OTHPCB5ABB20718EAB1,6,50.0,250.0,0.0,250.0,Others,Easypay_MA,Gross,84314,2021,May-21,Mrs.,F,71,6/14/2014,Andrew,Cosby,MO,64436,Midwest,0.0
100517069,01/06/2021,complete,832660,WOFLAL59BA4825B4CBE,2,123.8,123.8,0.0,123.8,Women's Fashion,cod,Net,84314,2021,Jun-21,Mrs.,F,71,6/14/2014,Andrew,Cosby,MO,64436,Midwest,0.0
100517069,01/06/2021,complete,832661,WOFLAL59BA482AB9553,2,123.8,123.8,0.0,123.8,Women's Fashion,cod,Net,84314,2021,Jun-21,Mrs.,F,71,6/14/2014,Andrew,Cosby,MO,64436,Midwest,0.0
100517069,01/06/2021,complete,832662,WOFKHA5ADF2BB522EB9,2,219.9,219.9,0.0,219.9,Women's Fashion,cod,Net,84314,2021,Jun-21,Mrs.,F,71,6/14/2014,Andrew,Cosby,MO,64436,Midwest,0.0
100517069,01/06/2021,complete,832663,WOFKHA5AA8FB14CDACB,2,189.9,189.9,0.0,189.9,Women's Fashion,cod,Net,84314,2021,Jun-21,Mrs.,F,71,6/14/2014,Andrew,Cosby,MO,64436,Midwest,0.0
100517069,01/06/2021,complete,832664,WOFJUN5AC765F917BAF,2,209.0,209.0,0.0,209.0,Women's Fashion,cod,Net,84314,2021,Jun-21,Mrs.,F,71,6/14/2014,Andrew,Cosby,MO,64436,Midwest,0.0
100517069,01/06/2021,complete,832665,WOFKHA5ADF2BC3C26D7,2,189.9,189.9,0.0,189.9,Women's Fashion,cod,Net,84314,2021,Jun-21,Mrs.,F,71,6/14/2014,Andrew,Cosby,MO,64436,Midwest,0.0
100533934,25/06/2021,received,856322,WOFSIT5ACCB3E6B006D,2,129.9,129.9,0.0,129.9,Women's Fashion,cod,Valid,84314,2021,Jun-21,Mrs.,F,71,6/14/2014,Andrew,Cosby,MO,64436,Midwest,0.0
100441325,01/02/2021,complete,723510,OTHVOU5A2A700D97537,2,200.0,200.0,0.0,200.0,Others,cod,Net,84315,2021,Feb-21,Drs.,F,31,1/30/2016,San Miguel,Rowe,NM,87562,West,0.0
100441326,01/02/2021,complete,723511,HALHED59D48ABB18339,2,29.9,29.9,0.0,29.9,Home & Living,cod,Net,84316,2021,Feb-21,Mr.,M,45,3/17/1998,Accomack,Greenbush,VA,23357,South,0.0
100441326,01/02/2021,complete,723512,HASHED59D3834DBC3C7,2,79.9,79.9,0.0,79.9,Health & Sports,cod,Net,84316,2021,Feb-21,Mr.,M,45,3/17/1998,Accomack,Greenbush,VA,23357,South,0.0
100441334,01/02/2021,canceled,723529,ENTMIC59FABFACB3184,2,3299.9,3299.9,0.0,3299.9,Entertainment,Easypay,Gross,84317,2021,Feb-21,Hon.,M,20,05/07/2006,Harris,Houston,TX,77056,South,0.0
100441335,01/02/2021,canceled,723530,ENTMIC59FABFACB3184,2,3299.9,3299.9,0.0,3299.9,Entertainment,Easypay,Gross,84317,2021,Feb-21,Hon.,M,20,05/07/2006,Harris,Houston,TX,77056,South,0.0
100441337,01/02/2021,order_refunded,723532,NOV5A268E6029074,2,61.9,61.9,0.0,61.9,Superstore,cod,Valid,84318,2021,Feb-21,Mr.,M,74,11/21/2004,San Francisco,San Francisco,CA,94167,West,0.0
100441340,01/02/2021,canceled,723535,APPORI5A2A3BA57D20F,2,627.5,627.5,0.0,627.5,Appliances,cod,Gross,84319,2021,Feb-21,Mr.,M,54,06/02/2017,Weber,Eden,UT,84310,West,0.0
100441341,01/02/2021,complete,723536,KABRUB59ACAE1948102,3,8.9,17.8,0.0,17.8,Kids & Baby,cod,Net,84319,2021,Feb-21,Mr.,M,54,06/02/2017,Weber,Eden,UT,84310,West,0.0
100441341,01/02/2021,complete,723537,APPORI5A2A3BA57D20F,2,627.5,627.5,0.0,627.5,Appliances,cod,Net,84319,2021,Feb-21,Mr.,M,54,06/02/2017,Weber,Eden,UT,84310,West,0.0
100449585,05/03/2021,canceled,738081,MATTEL5A462528E403F,2,479.9,479.9,80.0,399.9,Mobiles & Tablets,easypay_voucher,Gross,84319,2021,Mar-21,Mr.,M,54,06/02/2017,Weber,Eden,UT,84310,West,16.67013961
100449597,05/03/2021,complete,738095,MATTEL5A462528E403F,2,479.9,479.9,80.0,399.9,Mobiles & Tablets,jazzwallet,Net,84319,2021,Mar-21,Mr.,M,54,06/02/2017,Weber,Eden,UT,84310,West,16.67013961
100519412,06/06/2021,complete,835970,MATTEL5A462528E403F,1,479.1,0.0,0.0,0.0,Mobiles & Tablets,jazzwallet,Net,84319,2021,Jun-21,Mr.,M,54,06/02/2017,Weber,Eden,UT,84310,West,9.0
100530778,19/06/2021,received,851743,APPDAW5A800C7B4BB06,2,286.5,286.5,37.694,248.806,Appliances,jazzwallet,Valid,84319,2021,Jun-21,Mr.,M,54,06/02/2017,Weber,Eden,UT,84310,West,13.15671902
100530778,19/06/2021,received,851744,HALMOV5AA8C8A0C136F,13,29.9,358.8,226.164,132.636,Home & Living,jazzwallet,Valid,84319,2021,Jun-21,Mr.,M,54,06/02/2017,Weber,Eden,UT,84310,West,63.03344482
100530778,19/06/2021,received,851745,BAGVIT5AC4A6DC3DE95,15,25.9,362.6,0.0,362.6,Beauty & Grooming,jazzwallet,Valid,84319,2021,Jun-21,Mr.,M,54,06/02/2017,Weber,Eden,UT,84310,West,0.0
100441343,01/02/2021,order_refunded,723542,MEFKUR59ACE4374D331,2,44.8,44.8,0.0,44.8,Men's Fashion,cod,Valid,84320,2021,Feb-21,Mrs.,F,59,1/25/2015,Hancock,Carthage,IL,62321,Midwest,0.0
100441343,01/02/2021,order_refunded,723543,MEFARC5A09A35EAC71A-M,2,78.0,78.0,0.0,78.0,Men's Fashion,cod,Valid,84320,2021,Feb-21,Mrs.,F,59,1/25/2015,Hancock,Carthage,IL,62321,Midwest,0.0
100443304,07/02/2021,order_refunded,726582,MEFATA59AD396C625A8-42,2,399.4,399.4,0.0,399.4,Men's Fashion,cod,Valid,84320,2021,Feb-21,Mrs.,F,59,1/25/2015,Hancock,Carthage,IL,62321,Midwest,0.0
100444065,09/02/2021,canceled,727967,MEFATA59FB002924E89-44,2,382.1,382.1,0.0,382.1,Men's Fashion,cod,Gross,84320,2021,Feb-21,Mrs.,F,59,1/25/2015,Hancock,Carthage,IL,62321,Midwest,0.0
100441344,01/02/2021,received,723545,KABPAM5A0447BAE1D73,2,26.25,26.25,0.0,26.25,Kids & Baby,cod,Valid,84321,2021,Feb-21,Mrs.,F,21,4/20/2010,Whitley,Williamsburg,KY,40769,South,0.0
100441344,01/02/2021,received,723546,KABNAD59E0ADD8884CA,2,22.0,22.0,0.0,22.0,Kids & Baby,cod,Valid,84321,2021,Feb-21,Mrs.,F,21,4/20/2010,Whitley,Williamsburg,KY,40769,South,0.0
100441344,01/02/2021,received,723547,KABNAD59E0AB2151285,2,6.5,6.5,0.0,6.5,Kids & Baby,cod,Valid,84321,2021,Feb-21,Mrs.,F,21,4/20/2010,Whitley,Williamsburg,KY,40769,South,0.0
100441344,01/02/2021,received,723548,KABBAC59AC7EC77C8E0,2,24.8,24.8,0.0,24.8,Kids & Baby,cod,Valid,84321,2021,Feb-21,Mrs.,F,21,4/20/2010,Whitley,Williamsburg,KY,40769,South,0.0
100442455,04/02/2021,complete,725163,KABPAM5A0447BAE1D73,2,26.25,26.25,0.0,26.25,Kids & Baby,cod,Net,84321,2021,Feb-21,Mrs.,F,21,4/20/2010,Whitley,Williamsburg,KY,40769,South,0.0
100442455,04/02/2021,complete,725164,KABSEN59C10487309B7,2,41.9,41.9,0.0,41.9,Kids & Baby,cod,Net,84321,2021,Feb-21,Mrs.,F,21,4/20/2010,Whitley,Williamsburg,KY,40769,South,0.0
100441352,01/02/2021,order_refunded,723565,KABSTI5A044807BCA35,2,58.716,58.716,0.0,58.716,Kids & Baby,cod,Valid,84322,2021,Feb-21,Mr.,M,40,6/16/1991,Orange,Bridge City,TX,77611,South,0.0
100441352,01/02/2021,order_refunded,723566,KABPLA5A3A05EEBB2F1,2,94.9,94.9,0.0,94.9,Kids & Baby,cod,Valid,84322,2021,Feb-21,Mr.,M,40,6/16/1991,Orange,Bridge City,TX,77611,South,0.0
